wall_time,node,seq,pub_ts_us,tb_ns,tc_ns,rtt_ms,deadline_miss
1780957259.949182,s1,36,37813656,3257757590304,3257757624772,34.468,
1780957260.718661,s1,37,38813660,3258526998610,3258527071268,72.658,
1780957261.854952,s1,38,39813660,3259663391637,3259663420585,28.948,
1780957262.915218,s1,39,40813660,3260723599991,3260723640535,40.544,
1780957263.72672,s1,40,41813661,3261535232582,3261535247448,14.866,
1780957264.762995,s1,41,42813660,3262571439837,3262571469198,29.361,
1780957267.347074,s1,42,43813660,3265155507225,3265155537322,30.097,
1780957267.596646,s1,43,44813660,3265405076704,3265405104447,27.743,
1780957267.85969,s1,44,45814510,3265668196602,3265668211273,14.671,
1780957268.867468,s1,45,46813660,3266675829311,3266675860130,30.819,
1780957269.899254,s1,46,47813660,3267707676744,3267707710736,33.992,
1780957270.802621,s1,47,48813660,3268611139387,3268611152810,13.423,
1780957271.722579,s1,48,49813660,3269531069797,3269531088842,19.045,
1780957272.786487,s1,49,50813660,3270594894499,3270594924158,29.659,
1780957273.783963,s1,50,51813661,3271592220561,3271592247734,27.173,
1780957274.800028,s1,51,52813660,3272608458967,3272608490159,31.192,
1780957275.824203,s1,52,53813660,3273632634499,3273632664845,30.346,
1780957276.721859,s1,53,54813660,3274530325166,3274530350169,25.003,
1780957277.882314,s1,54,55813660,3275690713377,3275690749187,35.81,
1780957278.701796,s1,55,56813660,3276510248857,3276510273810,24.953,
1780957279.860254,s1,56,57813660,3277668653840,3277668691997,38.157,
1780957280.702483,s1,57,58813660,3278510852287,3278510890039,37.752,
